clip,lr,pot_num,train_epa_rmse,train_forces_rmse,val_epa_rmse,val_forces_rmse,train_time,steps,epochs,final_loss
5,0.003,4,0.3319664976976159,1.2551011959248706,0.3723121766233285,1.685303325418921,273.1322340667248,1000,199,132.34662023473464
5,0.003,5,0.30942651387906256,0.9055971985509593,0.36464782184726485,1.3435430985265235,268.86737699247897,1000,199,38.60757048503485
5,0.01,1,0.30399947476996175,0.5758813558050586,0.30517101409043584,0.8963806479159646,274.78792116977274,1000,199,95.47695305453652
5,0.01,2,0.3885774068229738,0.7645171124439362,0.39787495637520554,1.1469032695776284,271.53653731942177,1000,199,34.91722079030222
5,0.01,3,0.2680825115770492,0.7490882095775488,0.24059467997089276,1.116932983261599,248.01438622362912,1000,199,37.00829531386073
5,0.01,4,0.25607876305582034,0.6794144728837619,0.23734121734199629,1.017938195177737,239.27979467250407,1000,199,145.64359785455844
5,0.01,5,0.26924252697547757,0.5501999835264805,0.2637764689559891,0.8587885851799354,239.85704672895372,1000,199,132.1256306125566
10,0.001,1,0.1759587225714481,1.1408272531500587,0.21492932202125503,1.6185756505576376,239.29161309450865,1000,199,74.01736856717508
10,0.001,2,0.21130693036543483,1.2611317444070802,0.2115950060696697,1.8424490520119552,241.0759281720966,1000,199,81.67869899827659
10,0.001,3,0.15350726861454345,1.0879684948187585,0.1254966233536337,1.5671100526046144,243.34389755129814,1000,199,43.20962969981794
10,0.001,4,0.37817999613256237,1.5530058101595394,0.41222469182976035,2.1343660468842582,239.51868871599436,1000,199,184.54622967631704
10,0.001,5,0.2357518468480092,1.029947611495703,0.2781959419782617,1.473917610559038,239.66999946720898,1000,199,67.9152265288858
10,0.003,1,0.2596629911013009,0.784639887948278,0.2479816526107265,1.1110787191530418,263.1108087245375,1000,199,21.24214319845678
10,0.003,2,0.3520739451480594,0.8458970358237845,0.38301073880345105,1.2480540041896235,277.0912177283317,1000,199,34.1977742985515
10,0.003,3,0.04907466049572501,0.7773124176073655,0.036527717921127564,1.1491402100616894,290.1269024666399,1000,199,71.19429527344745
10,0.003,4,0.09884285553529996,0.8080240907472859,0.10939702084487754,1.1502474010327586,272.4584251008928,1000,199,20.52882536656213
10,0.003,5,0.2566032794609797,0.9240172190915319,0.2699476066849601,1.2682297890627066,280.9108077585697,1000,199,73.15564147119133
10,0.01,1,0.5024762888515227,0.7213558597711736,0.4882415951964956,1.1028790132826625,285.1739208754152,1000,199,51.04389148159454
10,0.01,2,0.5254168568390503,0.7240646574198586,0.5065689995444719,1.0849682908110083,288.7108580265194,1000,199,407.8565024118814
